,Adverbs,Articles,Conjunctions,First-person plural,Indefinite pronouns,Negations,Numbers,Prepositions,Quantifiers,Second person,Third-person plural,Third-person singular,Total pronouns,Words >6 letters,adj_arg_ovl,adj_cw_ovl,adj_stem_ovl,adjectives,arg_ovl,cm.DESPL,cm.DESSC,cm.DESSL,cm.DESWC,cm.DESWLsyd,cm.LDTTRa,cm.LDTTRc,cm.LDVOCD,cm.LSAGN,cm.RDFKGL,cm.SMCAUSwn,conn_incidence,hypernyms_verbs,liwc.i,liwc.money,lsa.similarity,message.depth,message.reply.cnt,message.sim.next,message.sim.prev,mod_per_np,negation_incidence,ner.entity.cnt,nouns,np_incidence,paragraphs,personal_pronouns,pronouns,stem_ovl,syllables_per_content_word,verbs,words_before_main_verb,classe
864,3,11,5,0,2,1,0,11,1,0,1,2,2,28,1.0,667,1.0,132653,833,4.0,4,25.5,98,1206,6.73E+15,4.07E+16,4.07E+16,7.93E+15,3994,11118,81633,7.14E+15,0,0,624,1,0,9.21E+15,7.86E+15,465,10204,1,22449,352279,1,0.0,163265,833,304,142857,225,2
865,6,10,3,1,1,1,2,14,0,0,1,1,6,32,0.4,1.2,2.2,57143,5.33E+15,8.0,8,13875,105,1244,5.76E+15,379,379,787,29295,2.5722E+16,85714,4.12E+16,0,0,4.63E+16,1,0,825,9.21E+15,2.91E+16,9524,5,333333,3.16396E+16,1,0.0,66667,1933,3031,180952,2833,2
866,2,4,2,0,0,0,0,3,0,0,0,0,0,7,0.0,0.0,0.0,2.8571E+16,0.0,2.0,2,19.5,35,1263,7.02E+15,447,447,7.49E+15,4248,2.6429E+16,114286,3.33E+16,0,0,655,3,0,8.11E+15,825,292,0.0,0,285714,29021,1,0.0,85714,0.0,2955,257143,5.5,2
867,13,10,12,0,5,4,1,16,1,0,8,9,2,41,8.0,9.5,14.5,78313,5.667E+15,1.0,4,43.5,166,898,586,3.72E+16,3.72E+16,737,32425,16472,162651,486,0,0,7.12E+15,1,0,885,8.11E+15,191,24096,2,186747,37912,2,18072,126506,9667,2576,228916,3333,2
868,3,14,5,1,0,0,0,10,0,0,1,2,2,31,1.0,0.0,0.0,121212,667,1.2,4,25.5,99,1.211E+16,696,426,426,799,32389,9571,10101,0.5,0,0,562,1,0,805,885,345,0.0,2,2.92929E+16,3.99807E+16,1,10101,10101,0.0,3145,121212,2333,2
869,9,13,6,0,2,1,0,16,3,0,6,6,1,34,1.5,0.5,1.333E+16,62992,905,1.4,7,18857,127,1194,597,375,375,7.39E+15,47838,17708,181102,889,0,0,41,1,0,858,805,25,7874,0,2.44094E+16,279808,3,15748,1.02362E+16,1.0,2.848E+16,165354,4857,2
870,2,4,2,0,1,0,0,8,1,0,1,1,2,9,1.0,1.0,1.0,43478,1.0,2.0,2,24.0,46,1078,7.04E+15,389,389,847,4.6079E+15,1.67E+16,108696,857,0,0,603,2,0,8.06E+15,858,1.67E+16,0.0,1,23913,387.5,1,65217,1.73913E+16,1.0,285,152174,9.0,2
871,4,13,3,0,0,1,0,9,0,0,0,0,0,12,0.5,0.5,2.5,76923,667,4.0,4,17.5,65,1.211E+16,628,3.72E+16,3.72E+16,7.17E+15,52762,18.0,9.2308E+15,125,0,0,539,1,0,872,8.06E+15,55,15385,1,292308,368056,1,0.0,6.1538E+16,2333,2.629E+16,1.23077E+16,5.667E+15,2
872,6,11,6,0,1,0,0,14,3,0,1,1,0,27,1.333E+16,1.667E+16,1.667E+16,42105,1.333E+16,1.333E+16,4,2425,95,1172,645,364,364,742,4.2554E+16,19562,136842,667,0,0,578,1,0,846,872,312,0.0,1,242105,395079,2,10526,52632,1.5,298,178947,325,2
873,2,2,1,0,0,0,0,2,0,0,0,0,2,7,4.0,2.0,2.0,32258,4.0,2.0,2,16.0,31,982,722,361,361,7.02E+15,6.0666E+16,43.0,32258,2.0,0,0,2.27E+16,2,0,7.86E+15,846,225,0.0,1,3.22581E+16,306818,1,32258,16129,2.0,2.5,193548,5.0,2
