,Adverbs,Articles,Conjunctions,First-person plural,Indefinite pronouns,Negations,Numbers,Prepositions,Quantifiers,Second person,Third-person plural,Third-person singular,Total pronouns,Words >6 letters,adj_arg_ovl,adj_cw_ovl,adj_stem_ovl,adjectives,arg_ovl,cm.DESPL,cm.DESSC,cm.DESSL,cm.DESWC,cm.DESWLsyd,cm.LDTTRa,cm.LDTTRc,cm.LDVOCD,cm.LSAGN,cm.RDFKGL,cm.SMCAUSwn,conn_incidence,hypernyms_verbs,liwc.i,liwc.money,lsa.similarity,message.depth,message.reply.cnt,message.sim.next,message.sim.prev,mod_per_np,negation_incidence,ner.entity.cnt,nouns,np_incidence,paragraphs,personal_pronouns,pronouns,stem_ovl,syllables_per_content_word,verbs,words_before_main_verb,classe
843,5.0,11.0,1.0,2.0,3.0,1.0,4.0,14.0,4.0,0.0,0.0,0.0,6.0,20.0,0.5,55,3.33E+16,1.0,381,7,7,1.4143E+16,99,893,73,889,9.3032E+15,149,8523,596,10101,1765,1.0,0.0,899755702,3,0,0.0,514,7.04E+15,10101,26,3.63636E+16,4.14141E+16,1,3.0,60606,2.38E+16,1.576E+16,111111,3.0,0
844,8.7,435,8.7,0.0,8.7,0.0,0.0,1522,435,217,0.0,0.0,1087,2609,25,31,0.0,652,0.1,5,5,9.2,46,9.94E+15,935,1.0,0.0,0.1,7.492E+15,7.14E+15,130435,1325,0.0,0.0,259249071,2,0,0.0,302,0.8,0.0,10,347827,456522,1,217,8.6957E+15,0.0,1652,86956,3.0,2
845,0.0,769,154,154,0.0,0.0,1231,769,0.0,0.0,0.0,0.0,154,3077,0.0,0.0,0.0,308,0.0,2,2,25.0,50,2247,797,971,0.0,2.8E+16,19884,1.0,20.0,2033,0.0,0.0,0.0,0,2,251,0.0,1.533E+16,0.0,27,560.0,500.0,1,154,0.0,0.0,218,40.0,5.5,1
846,0.0,182,182,0.0,0.0,0.0,20.0,727,0.0,0.0,0.0,0.0,0.0,3455,0.0,0.0,0.0,545,0.0,5,5,8.2,41,3034,7.96E+15,9.64E+15,0.0,78,1.6388E+16,0.0,2439,0.0,0.0,0.0,979464931,0,2,109,0.0,1286,0.0,20,536585,560976,1,0.0,0.0,0.0,2439,0.0,0.0,1
847,177,708,265,0.0,0.0,0.0,885,796,0.0,88,0.0,0.0,354,3186,429,188,2.86E+16,354,1.43E+16,8,8,11625,93,2425,6.94E+15,8.17E+15,103736,209,14196,0.5,43011,1416,265,0.0,3.50649E+16,0,2,312,0.0,1444,0.0,32,430108,430108,1,354,43011,107,214,96773,0.5,1
848,323,1183,645,0.0,538,0.0,323,17.2,108,0.0,108,0.0,8.6,2688,0.5,6,0.5,538,3.33E+16,3,3,31.0,93,9.44E+15,6.56E+15,887,0.0,129,15533,615,7.5269E+15,1.812E+16,215,108,771463094,1,1,4.54E+16,0.0,1.2,0.0,25,301074,408602,1,323,32258,3.33E+16,1.613E+16,107527,2.0,2
849,259,948,862,0.0,431,172,86,1293,345,86,0.0,0.0,948,18.1,3.33E+16,68,3.33E+16,6.9,19,7,7,16857,118,8.32E+15,675,8.69E+15,81404,151,7.988E+16,616,101695,1489,431,0.0,4.4916E+16,2,0,0.0,4.54E+16,929,16949,22,2.20339E+16,29661,1,517,50847,19,1.441E+16,135594,1571,2
850,3.7,778,444,111,444,0.0,37,1519,259,222,37,0.0,1074,2926,5.33E+15,9.3E+15,467,593,429,16,16,16875,270,935,563,768,92234,281,10532,575,5.9259E+15,1556,259,74,6.32646E+15,1,2,606,0.0,92,0.0,56,27037,348148,1,6.3,62963,314,1656,129629,3.5,3
851,412,13.4,515,0.0,515,206,0.0,1031,103,619,0.0,0.0,1134,2784,7.14E+15,166,5.71E+15,0.0,0.5,8,8,12125,97,792,629,82,0.0,203,7146,557,72165,1435,0.0,0.0,597241878,1,4,602,0.0,9.62E+15,1.0309E+16,21,278351,360825,1,619,72165,2.86E+16,1526,1.64948E+16,275,2
852,489,489,598,0.0,3.8,272,598,1141,217,109,109,0.0,8.7,3533,182,61,182,3.8,138,12,12,15.0,180,1249,667,8.29E+15,134335,19,13069,2.96E+16,72222,1.572E+16,272,109,676307659,1,1,408,0.0,1125,5556,48,333333,377778,1,489,50.0,154,1933,133334,2667,3
